LAUS,state_fips,county_fips,county,year,,Labor,Employed,Unemployed,unemploy_rate
CN1812100000000,18,121,"Parke County, IN",2010,,"7,332","6,530",802,10.9
CN1812300000000,18,123,"Perry County, IN",2010,,"8,931","7,987",944,10.6
CN1812500000000,18,125,"Pike County, IN",2010,,"6,199","5,611",588,9.5
CN1812700000000,18,127,"Porter County, IN",2010,,"81,607","73,876","7,731",9.5
CN1812900000000,18,129,"Posey County, IN",2010,,"13,494","12,440","1,054",7.8
CN1813100000000,18,131,"Pulaski County, IN",2010,,"6,370","5,736",634,10
CN1813300000000,18,133,"Putnam County, IN",2010,,"16,674","14,732","1,942",11.6
CN1813500000000,18,135,"Randolph County, IN",2010,,"13,019","11,486","1,533",11.8
CN1813700000000,18,137,"Ripley County, IN",2010,,"14,527","12,898","1,629",11.2
CN1813900000000,18,139,"Rush County, IN",2010,,"8,683","7,716",967,11.1
CN1814100000000,18,141,"St. Joseph County, IN",2010,,"130,462","115,384","15,078",11.6
CN1814300000000,18,143,"Scott County, IN",2010,,"10,590","9,195","1,395",13.2
CN1814500000000,18,145,"Shelby County, IN",2010,,"22,714","20,223","2,491",11
CN1814700000000,18,147,"Spencer County, IN",2010,,"10,996","10,030",966,8.8
CN1814900000000,18,149,"Starke County, IN",2010,,"10,444","9,052","1,392",13.3
CN1815100000000,18,151,"Steuben County, IN",2010,,"18,438","16,385","2,053",11.1
CN1815300000000,18,153,"Sullivan County, IN",2010,,"9,085","8,170",915,10.1
CN1815500000000,18,155,"Switzerland County, IN",2010,,"5,025","4,558",467,9.3
CN1815700000000,18,157,"Tippecanoe County, IN",2010,,"86,530","78,863","7,667",8.9
CN1815900000000,18,159,"Tipton County, IN",2010,,"8,046","7,221",825,10.3
CN1816100000000,18,161,"Union County, IN",2010,,"3,729","3,346",383,10.3
CN1816300000000,18,163,"Vanderburgh County, IN",2010,,"92,127","83,894","8,233",8.9
CN1816500000000,18,165,"Vermillion County, IN",2010,,"7,810","6,799","1,011",12.9
CN1816700000000,18,167,"Vigo County, IN",2010,,"51,128","45,401","5,727",11.2
CN1816900000000,18,169,"Wabash County, IN",2010,,"15,955","14,133","1,822",11.4
CN1817100000000,18,171,"Warren County, IN",2010,,"4,201","3,758",443,10.5
CN1817300000000,18,173,"Warrick County, IN",2010,,"30,817","28,345","2,472",8
CN1817500000000,18,175,"Washington County, IN",2010,,"13,806","12,118","1,688",12.2
CN1817700000000,18,177,"Wayne County, IN",2010,,"31,330","27,310","4,020",12.8
CN1817900000000,18,179,"Wells County, IN",2010,,"14,137","12,757","1,380",9.8
CN1818100000000,18,181,"White County, IN",2010,,"12,975","11,613","1,362",10.5
CN1818300000000,18,183,"Whitley County, IN",2010,,"17,603","15,579","2,024",11.5
CN1900100000000,19,1,"Adair County, IA",2010,,"4,104","3,877",227,5.5
CN1900300000000,19,3,"Adams County, IA",2010,,"2,240","2,132",108,4.8
CN1900500000000,19,5,"Allamakee County, IA",2010,,"7,916","7,296",620,7.8
CN1900700000000,19,7,"Appanoose County, IA",2010,,"6,199","5,748",451,7.3
CN1900900000000,19,9,"Audubon County, IA",2010,,"3,478","3,284",194,5.6
CN1901100000000,19,11,"Benton County, IA",2010,,"14,329","13,442",887,6.2
CN1901300000000,19,13,"Black Hawk County, IA",2010,,"70,978","66,590","4,388",6.2
CN1901500000000,19,15,"Boone County, IA",2010,,"14,843","13,995",848,5.7
CN1901700000000,19,17,"Bremer County, IA",2010,,"13,861","13,182",679,4.9
CN1901900000000,19,19,"Buchanan County, IA",2010,,"11,349","10,670",679,6
CN1902100000000,19,21,"Buena Vista County, IA",2010,,"11,420","10,880",540,4.7
CN1902300000000,19,23,"Butler County, IA",2010,,"8,198","7,702",496,6.1
CN1902500000000,19,25,"Calhoun County, IA",2010,,"4,655","4,375",280,6
CN1902700000000,19,27,"Carroll County, IA",2010,,"11,712","11,207",505,4.3
CN1902900000000,19,29,"Cass County, IA",2010,,"7,409","6,945",464,6.3
CN1903100000000,19,31,"Cedar County, IA",2010,,"10,987","10,395",592,5.4
CN1903300000000,19,33,"Cerro Gordo County, IA",2010,,"24,561","22,880","1,681",6.8
CN1903500000000,19,35,"Cherokee County, IA",2010,,"7,087","6,768",319,4.5
CN1903700000000,19,37,"Chickasaw County, IA",2010,,"6,554","6,069",485,7.4
CN1903900000000,19,39,"Clarke County, IA",2010,,"4,784","4,417",367,7.7
CN1904100000000,19,41,"Clay County, IA",2010,,"9,346","8,798",548,5.9
CN1904300000000,19,43,"Clayton County, IA",2010,,"10,481","9,736",745,7.1
CN1904500000000,19,45,"Clinton County, IA",2010,,"26,447","24,589","1,858",7
CN1904700000000,19,47,"Crawford County, IA",2010,,"8,981","8,560",421,4.7
CN1904900000000,19,49,"Dallas County, IA",2010,,"37,290","35,590","1,700",4.6
CN1905100000000,19,51,"Davis County, IA",2010,,"4,253","3,950",303,7.1
CN1905300000000,19,53,"Decatur County, IA",2010,,"4,465","4,194",271,6.1
CN1905500000000,19,55,"Delaware County, IA",2010,,"10,360","9,733",627,6.1
CN1905700000000,19,57,"Des Moines County, IA",2010,,"20,211","18,707","1,504",7.4
CN1905900000000,19,59,"Dickinson County, IA",2010,,"9,296","8,665",631,6.8
CN1906100000000,19,61,"Dubuque County, IA",2010,,"54,215","51,079","3,136",5.8
CN1906300000000,19,63,"Emmet County, IA",2010,,"5,868","5,456",412,7
CN1906500000000,19,65,"Fayette County, IA",2010,,"11,013","10,226",787,7.1
CN1906700000000,19,67,"Floyd County, IA",2010,,"8,548","7,929",619,7.2
CN1906900000000,19,69,"Franklin County, IA",2010,,"6,026","5,650",376,6.2
CN1907100000000,19,71,"Fremont County, IA",2010,,"3,978","3,743",235,5.9
CN1907300000000,19,73,"Greene County, IA",2010,,"5,201","4,895",306,5.9
CN1907500000000,19,75,"Grundy County, IA",2010,,"6,754","6,370",384,5.7
CN1907700000000,19,77,"Guthrie County, IA",2010,,"5,851","5,473",378,6.5
CN1907900000000,19,79,"Hamilton County, IA",2010,,"8,082","7,494",588,7.3
CN1908100000000,19,81,"Hancock County, IA",2010,,"6,069","5,666",403,6.6
CN1908300000000,19,83,"Hardin County, IA",2010,,"9,131","8,536",595,6.5
CN1908500000000,19,85,"Harrison County, IA",2010,,"7,999","7,553",446,5.6
CN1908700000000,19,87,"Henry County, IA",2010,,"9,958","9,132",826,8.3
CN1908900000000,19,89,"Howard County, IA",2010,,"5,338","5,002",336,6.3
CN1909100000000,19,91,"Humboldt County, IA",2010,,"5,226","4,956",270,5.2
CN1909300000000,19,93,"Ida County, IA",2010,,"3,846","3,650",196,5.1
CN1909500000000,19,95,"Iowa County, IA",2010,,"9,659","9,128",531,5.5
CN1909700000000,19,97,"Jackson County, IA",2010,,"11,104","10,310",794,7.2
CN1909900000000,19,99,"Jasper County, IA",2010,,"19,022","17,633","1,389",7.3
CN1910100000000,19,101,"Jefferson County, IA",2010,,"8,954","8,319",635,7.1
CN1910300000000,19,103,"Johnson County, IA",2010,,"79,254","75,904","3,350",4.2
CN1910500000000,19,105,"Jones County, IA",2010,,"11,106","10,400",706,6.4
CN1910700000000,19,107,"Keokuk County, IA",2010,,"5,547","5,185",362,6.5
CN1910900000000,19,109,"Kossuth County, IA",2010,,"8,380","7,954",426,5.1
CN1911100000000,19,111,"Lee County, IA",2010,,"17,739","16,165","1,574",8.9
CN1911300000000,19,113,"Linn County, IA",2010,,"120,103","112,921","7,182",6
CN1911500000000,19,115,"Louisa County, IA",2010,,"5,963","5,530",433,7.3
CN1911700000000,19,117,"Lucas County, IA",2010,,"4,232","3,973",259,6.1
CN1911900000000,19,119,"Lyon County, IA",2010,,"6,404","6,157",247,3.9
CN1912100000000,19,121,"Madison County, IA",2010,,"8,459","7,916",543,6.4
CN1912300000000,19,123,"Mahaska County, IA",2010,,"11,913","11,112",801,6.7
CN1912500000000,19,125,"Marion County, IA",2010,,"17,597","16,554","1,043",5.9
CN1912700000000,19,127,"Marshall County, IA",2010,,"20,153","18,775","1,378",6.8
CN1912900000000,19,129,"Mills County, IA",2010,,"7,609","7,210",399,5.2
CN1913100000000,19,131,"Mitchell County, IA",2010,,"5,733","5,436",297,5.2
CN1913300000000,19,133,"Monona County, IA",2010,,"4,886","4,534",352,7.2
CN1913500000000,19,135,"Monroe County, IA",2010,,"4,096","3,800",296,7.2
CN1913700000000,19,137,"Montgomery County, IA",2010,,"5,248","4,825",423,8.1
CN1913900000000,19,139,"Muscatine County, IA",2010,,"21,811","20,070","1,741",8
CN1914100000000,19,141,"O'Brien County, IA",2010,,"8,145","7,766",379,4.7
CN1914300000000,19,143,"Osceola County, IA",2010,,"3,669","3,488",181,4.9
CN1914500000000,19,145,"Page County, IA",2010,,"7,130","6,647",483,6.8
CN1914700000000,19,147,"Palo Alto County, IA",2010,,"4,844","4,552",292,6
CN1914900000000,19,149,"Plymouth County, IA",2010,,"14,566","13,914",652,4.5
CN1915100000000,19,151,"Pocahontas County, IA",2010,,"4,056","3,849",207,5.1
CN1915300000000,19,153,"Polk County, IA",2010,,"244,906","230,305","14,601",6
CN1915500000000,19,155,"Pottawattamie County, IA",2010,,"50,336","47,429","2,907",5.8
CN1915700000000,19,157,"Poweshiek County, IA",2010,,"10,568","9,956",612,5.8
CN1915900000000,19,159,"Ringgold County, IA",2010,,"2,615","2,492",123,4.7
CN1916100000000,19,161,"Sac County, IA",2010,,"5,715","5,448",267,4.7
CN1916300000000,19,163,"Scott County, IA",2010,,"87,133","81,354","5,779",6.6
CN1916500000000,19,165,"Shelby County, IA",2010,,"6,611","6,311",300,4.5
CN1916700000000,19,167,"Sioux County, IA",2010,,"19,668","18,897",771,3.9
CN1916900000000,19,169,"Story County, IA",2010,,"53,335","51,095","2,240",4.2
CN1917100000000,19,171,"Tama County, IA",2010,,"9,356","8,754",602,6.4
CN1917300000000,19,173,"Taylor County, IA",2010,,"3,188","3,011",177,5.6
CN1917500000000,19,175,"Union County, IA",2010,,"7,018","6,622",396,5.6
CN1917700000000,19,177,"Van Buren County, IA",2010,,"3,970","3,681",289,7.3
CN1917900000000,19,179,"Wapello County, IA",2010,,"18,504","17,050","1,454",7.9
CN1918100000000,19,181,"Warren County, IA",2010,,"26,352","24,866","1,486",5.6
CN1918300000000,19,183,"Washington County, IA",2010,,"12,420","11,787",633,5.1
CN1918500000000,19,185,"Wayne County, IA",2010,,"2,876","2,699",177,6.2
CN1918700000000,19,187,"Webster County, IA",2010,,"20,142","18,745","1,397",6.9
CN1918900000000,19,189,"Winnebago County, IA",2010,,"5,819","5,430",389,6.7
CN1919100000000,19,191,"Winneshiek County, IA",2010,,"12,293","11,614",679,5.5
CN1919300000000,19,193,"Woodbury County, IA",2010,,"55,988","52,304","3,684",6.6
CN1919500000000,19,195,"Worth County, IA",2010,,"4,342","4,027",315,7.3
CN1919700000000,19,197,"Wright County, IA",2010,,"6,856","6,365",491,7.2
CN2000100000000,20,1,"Allen County, KS",2010,,"7,010","6,429",581,8.3
CN2000300000000,20,3,"Anderson County, KS",2010,,"4,572","4,220",352,7.7
CN2000500000000,20,5,"Atchison County, KS",2010,,"7,938","7,154",784,9.9
CN2000700000000,20,7,"Barber County, KS",2010,,"2,769","2,644",125,4.5
CN2000900000000,20,9,"Barton County, KS",2010,,"15,001","14,100",901,6
CN2001100000000,20,11,"Bourbon County, KS",2010,,"7,223","6,572",651,9
CN2001300000000,20,13,"Brown County, KS",2010,,"5,266","4,917",349,6.6
CN2001500000000,20,15,"Butler County, KS",2010,,"33,009","30,447","2,562",7.8
CN2001700000000,20,17,"Chase County, KS",2010,,"1,442","1,361",81,5.6
CN2001900000000,20,19,"Chautauqua County, KS",2010,,"1,740","1,583",157,9
CN2002100000000,20,21,"Cherokee County, KS",2010,,"10,798","9,817",981,9.1
CN2002300000000,20,23,"Cheyenne County, KS",2010,,"1,405","1,348",57,4.1
CN2002500000000,20,25,"Clark County, KS",2010,,"1,223","1,169",54,4.4
CN2002700000000,20,27,"Clay County, KS",2010,,"4,631","4,374",257,5.5
CN2002900000000,20,29,"Cloud County, KS",2010,,"4,654","4,392",262,5.6
CN2003100000000,20,31,"Coffey County, KS",2010,,"4,847","4,479",368,7.6
CN2003300000000,20,33,"Comanche County, KS",2010,,994,949,45,4.5
CN2003500000000,20,35,"Cowley County, KS",2010,,"17,259","15,906","1,353",7.8
CN2003700000000,20,37,"Crawford County, KS",2010,,"19,356","17,672","1,684",8.7
CN2003900000000,20,39,"Decatur County, KS",2010,,"1,457","1,384",73,5
CN2004100000000,20,41,"Dickinson County, KS",2010,,"10,234","9,557",677,6.6
CN2004300000000,20,43,"Doniphan County, KS",2010,,"4,540","4,139",401,8.8
CN2004500000000,20,45,"Douglas County, KS",2010,,"64,379","60,574","3,805",5.9
CN2004700000000,20,47,"Edwards County, KS",2010,,"1,683","1,593",90,5.3
CN2004900000000,20,49,"Elk County, KS",2010,,"1,414","1,296",118,8.3
CN2005100000000,20,51,"Ellis County, KS",2010,,"17,642","16,946",696,3.9
CN2005300000000,20,53,"Ellsworth County, KS",2010,,"3,395","3,235",160,4.7
CN2005500000000,20,55,"Finney County, KS",2010,,"20,174","19,255",919,4.6
CN2005700000000,20,57,"Ford County, KS",2010,,"18,114","17,361",753,4.2
CN2005900000000,20,59,"Franklin County, KS",2010,,"14,363","13,070","1,293",9
CN2006100000000,20,61,"Geary County, KS",2010,,"13,359","12,136","1,223",9.2
CN2006300000000,20,63,"Gove County, KS",2010,,"1,505","1,454",51,3.4
CN2006500000000,20,65,"Graham County, KS",2010,,"1,389","1,323",66,4.8
CN2006700000000,20,67,"Grant County, KS",2010,,"4,202","4,021",181,4.3
CN2006900000000,20,69,"Gray County, KS",2010,,"3,489","3,376",113,3.2
CN2007100000000,20,71,"Greeley County, KS",2010,,827,799,28,3.4
CN2007300000000,20,73,"Greenwood County, KS",2010,,"3,441","3,181",260,7.6
CN2007500000000,20,75,"Hamilton County, KS",2010,,"1,825","1,768",57,3.1
CN2007700000000,20,77,"Harper County, KS",2010,,"2,937","2,753",184,6.3
CN2007900000000,20,79,"Harvey County, KS",2010,,"17,774","16,497","1,277",7.2
CN2008100000000,20,81,"Haskell County, KS",2010,,"2,445","2,357",88,3.6
CN2008300000000,20,83,"Hodgeman County, KS",2010,,"1,085","1,045",40,3.7
CN2008500000000,20,85,"Jackson County, KS",2010,,"7,509","7,046",463,6.2
CN2008700000000,20,87,"Jefferson County, KS",2010,,"10,671","9,871",800,7.5
CN2008900000000,20,89,"Jewell County, KS",2010,,"1,558","1,473",85,5.5
CN2009100000000,20,91,"Johnson County, KS",2010,,"307,190","288,469","18,721",6.1
CN2009300000000,20,93,"Kearny County, KS",2010,,"2,155","2,058",97,4.5
CN2009500000000,20,95,"Kingman County, KS",2010,,"3,862","3,594",268,6.9
CN2009700000000,20,97,"Kiowa County, KS",2010,,"1,398","1,325",73,5.2
CN2009900000000,20,99,"Labette County, KS",2010,,"11,277","10,203","1,074",9.5
CN2010100000000,20,101,"Lane County, KS",2010,,985,944,41,4.2
CN2010300000000,20,103,"Leavenworth County, KS",2010,,"34,342","31,735","2,607",7.6
CN2010500000000,20,105,"Lincoln County, KS",2010,,"1,882","1,770",112,6
CN2010700000000,20,107,"Linn County, KS",2010,,"4,534","4,028",506,11.2
CN2010900000000,20,109,"Logan County, KS",2010,,"1,737","1,676",61,3.5
CN2011100000000,20,111,"Lyon County, KS",2010,,"17,481","16,316","1,165",6.7
CN2011300000000,20,113,"McPherson County, KS",2010,,"16,477","15,627",850,5.2
CN2011500000000,20,115,"Marion County, KS",2010,,"6,742","6,342",400,5.9
CN2011700000000,20,117,"Marshall County, KS",2010,,"5,908","5,608",300,5.1
CN2011900000000,20,119,"Meade County, KS",2010,,"2,567","2,458",109,4.2
CN2012100000000,20,121,"Miami County, KS",2010,,"17,111","15,815","1,296",7.6
CN2012300000000,20,123,"Mitchell County, KS",2010,,"3,874","3,689",185,4.8
CN2012500000000,20,125,"Montgomery County, KS",2010,,"18,083","16,158","1,925",10.6
CN2012700000000,20,127,"Morris County, KS",2010,,"3,311","3,085",226,6.8
CN2012900000000,20,129,"Morton County, KS",2010,,"1,756","1,680",76,4.3
CN2013100000000,20,131,"Nemaha County, KS",2010,,"5,820","5,570",250,4.3
CN2013300000000,20,133,"Neosho County, KS",2010,,"7,410","6,651",759,10.2
CN2013500000000,20,135,"Ness County, KS",2010,,"1,618","1,554",64,4
CN2013700000000,20,137,"Norton County, KS",2010,,"3,098","2,980",118,3.8
CN2013900000000,20,139,"Osage County, KS",2010,,"8,618","7,906",712,8.3
CN2014100000000,20,141,"Osborne County, KS",2010,,"2,224","2,116",108,4.9
CN2014300000000,20,143,"Ottawa County, KS",2010,,"3,286","3,090",196,6
CN2014500000000,20,145,"Pawnee County, KS",2010,,"3,608","3,439",169,4.7
CN2014700000000,20,147,"Phillips County, KS",2010,,"3,037","2,881",156,5.1
CN2014900000000,20,149,"Pottawatomie County, KS",2010,,"11,890","11,268",622,5.2
CN2015100000000,20,151,"Pratt County, KS",2010,,"5,289","4,993",296,5.6
CN2015300000000,20,153,"Rawlins County, KS",2010,,"1,511","1,458",53,3.5
CN2015500000000,20,155,"Reno County, KS",2010,,"32,894","30,800","2,094",6.4
CN2015700000000,20,157,"Republic County, KS",2010,,"2,732","2,614",118,4.3
CN2015900000000,20,159,"Rice County, KS",2010,,"5,306","5,018",288,5.4
CN2016100000000,20,161,"Riley County, KS",2010,,"36,091","34,289","1,802",5
CN2016300000000,20,163,"Rooks County, KS",2010,,"2,767","2,593",174,6.3
CN2016500000000,20,165,"Rush County, KS",2010,,"1,793","1,697",96,5.4
CN2016700000000,20,167,"Russell County, KS",2010,,"3,741","3,550",191,5.1
CN2016900000000,20,169,"Saline County, KS",2010,,"30,934","29,027","1,907",6.2
CN2017100000000,20,171,"Scott County, KS",2010,,"2,767","2,661",106,3.8
CN2017300000000,20,173,"Sedgwick County, KS",2010,,"252,713","230,497","22,216",8.8
CN2017500000000,20,175,"Seward County, KS",2010,,"10,794","10,261",533,4.9
CN2017700000000,20,177,"Shawnee County, KS",2010,,"93,584","87,047","6,537",7
CN2017900000000,20,179,"Sheridan County, KS",2010,,"1,514","1,463",51,3.4
CN2018100000000,20,181,"Sherman County, KS",2010,,"3,154","3,004",150,4.8
CN2018300000000,20,183,"Smith County, KS",2010,,"2,333","2,232",101,4.3
CN2018500000000,20,185,"Stafford County, KS",2010,,"2,366","2,246",120,5.1
CN2018700000000,20,187,"Stanton County, KS",2010,,"1,093","1,048",45,4.1
CN2018900000000,20,189,"Stevens County, KS",2010,,"2,870","2,749",121,4.2
CN2019100000000,20,191,"Sumner County, KS",2010,,"11,958","10,896","1,062",8.9
CN2019300000000,20,193,"Thomas County, KS",2010,,"4,543","4,363",180,4
CN2019500000000,20,195,"Trego County, KS",2010,,"1,509","1,438",71,4.7
CN2019700000000,20,197,"Wabaunsee County, KS",2010,,"3,887","3,633",254,6.5
CN2019900000000,20,199,"Wallace County, KS",2010,,893,840,53,5.9
CN2020100000000,20,201,"Washington County, KS",2010,,"3,346","3,184",162,4.8
CN2020300000000,20,203,"Wichita County, KS",2010,,"1,336","1,290",46,3.4
CN2020500000000,20,205,"Wilson County, KS",2010,,"4,500","3,962",538,12
CN2020700000000,20,207,"Woodson County, KS",2010,,"1,736","1,599",137,7.9
CN2020900000000,20,209,"Wyandotte County, KS",2010,,"74,994","67,433","7,561",10.1
CN2100100000000,21,1,"Adair County, KY",2010,,"7,810","6,839",971,12.4
CN2100300000000,21,3,"Allen County, KY",2010,,"9,126","8,056","1,070",11.7
CN2100500000000,21,5,"Anderson County, KY",2010,,"11,579","10,466","1,113",9.6
CN2100700000000,21,7,"Ballard County, KY",2010,,"3,839","3,445",394,10.3
CN2100900000000,21,9,"Barren County, KY",2010,,"19,749","17,540","2,209",11.2
CN2101100000000,21,11,"Bath County, KY",2010,,"4,887","4,172",715,14.6
CN2101300000000,21,13,"Bell County, KY",2010,,"10,197","8,959","1,238",12.1
CN2101500000000,21,15,"Boone County, KY",2010,,"63,271","57,662","5,609",8.9
CN2101700000000,21,17,"Bourbon County, KY",2010,,"10,064","9,151",913,9.1
CN2101900000000,21,19,"Boyd County, KY",2010,,"20,421","18,342","2,079",10.2
CN2102100000000,21,21,"Boyle County, KY",2010,,"13,342","11,853","1,489",11.2
CN2102300000000,21,23,"Bracken County, KY",2010,,"3,982","3,529",453,11.4
CN2102500000000,21,25,"Breathitt County, KY",2010,,"4,528","3,916",612,13.5
CN2102700000000,21,27,"Breckinridge County, KY",2010,,"8,273","7,202","1,071",12.9
CN2102900000000,21,29,"Bullitt County, KY",2010,,"38,803","34,671","4,132",10.6
CN2103100000000,21,31,"Butler County, KY",2010,,"5,457","4,802",655,12
CN2103300000000,21,33,"Caldwell County, KY",2010,,"5,916","5,293",623,10.5
CN2103500000000,21,35,"Calloway County, KY",2010,,"18,915","17,391","1,524",8.1
CN2103700000000,21,37,"Campbell County, KY",2010,,"48,713","44,284","4,429",9.1
CN2103900000000,21,39,"Carlisle County, KY",2010,,"2,251","2,047",204,9.1
CN2104100000000,21,41,"Carroll County, KY",2010,,"4,999","4,274",725,14.5
CN2104300000000,21,43,"Carter County, KY",2010,,"11,925","10,244","1,681",14.1
CN2104500000000,21,45,"Casey County, KY",2010,,"6,914","6,155",759,11
CN2104700000000,21,47,"Christian County, KY",2010,,"27,294","24,107","3,187",11.7
CN2104900000000,21,49,"Clark County, KY",2010,,"17,775","15,862","1,913",10.8
CN2105100000000,21,51,"Clay County, KY",2010,,"6,030","5,153",877,14.5
CN2105300000000,21,53,"Clinton County, KY",2010,,"4,273","3,803",470,11
CN2105500000000,21,55,"Crittenden County, KY",2010,,"4,064","3,660",404,9.9
CN2105700000000,21,57,"Cumberland County, KY",2010,,"3,174","2,800",374,11.8
CN2105900000000,21,59,"Daviess County, KY",2010,,"46,881","42,523","4,358",9.3
CN2106100000000,21,61,"Edmonson County, KY",2010,,"5,122","4,440",682,13.3
CN2106300000000,21,63,"Elliott County, KY",2010,,"2,399","2,019",380,15.8
CN2106500000000,21,65,"Estill County, KY",2010,,"5,694","4,923",771,13.5
CN2106700000000,21,67,"Fayette County, KY",2010,,"163,286","151,190","12,096",7.4
