LAUS,state_fips,county_fips,county,year,,Labor,Employed,Unemployed,unemploy_rate
CN0108300000000,1,83,"Limestone County, AL",2011,,"38,990","35,631","3,359",8.6
CN0108500000000,1,85,"Lowndes County, AL",2011,,"4,239","3,489",750,17.7
CN0108700000000,1,87,"Macon County, AL",2011,,"8,512","7,317","1,195",14
CN0108900000000,1,89,"Madison County, AL",2011,,"171,726","157,512","14,214",8.3
CN0109100000000,1,91,"Marengo County, AL",2011,,"7,875","6,884",991,12.6
CN0109300000000,1,93,"Marion County, AL",2011,,"12,556","11,149","1,407",11.2
CN0109500000000,1,95,"Marshall County, AL",2011,,"41,085","37,216","3,869",9.4
CN0109700000000,1,97,"Mobile County, AL",2011,,"193,851","172,971","20,880",10.8
CN0109900000000,1,99,"Monroe County, AL",2011,,"8,325","7,017","1,308",15.7
CN0110100000000,1,101,"Montgomery County, AL",2011,,"109,092","98,491","10,601",9.7
CN0110300000000,1,103,"Morgan County, AL",2011,,"58,319","52,810","5,509",9.4
CN0110500000000,1,105,"Perry County, AL",2011,,"3,866","3,227",639,16.5
CN0110700000000,1,107,"Pickens County, AL",2011,,"7,570","6,663",907,12
CN0110900000000,1,109,"Pike County, AL",2011,,"15,438","14,070","1,368",8.9
CN0111100000000,1,111,"Randolph County, AL",2011,,"9,447","8,374","1,073",11.4
CN0111300000000,1,113,"Russell County, AL",2011,,"24,604","22,077","2,527",10.3
CN0111500000000,1,115,"St. Clair County, AL",2011,,"38,509","35,135","3,374",8.8
CN0111700000000,1,117,"Shelby County, AL",2011,,"104,214","97,727","6,487",6.2
CN0111900000000,1,119,"Sumter County, AL",2011,,"5,560","4,829",731,13.1
CN0112100000000,1,121,"Talladega County, AL",2011,,"35,293","31,192","4,101",11.6
CN0112300000000,1,123,"Tallapoosa County, AL",2011,,"18,363","16,266","2,097",11.4
CN0112500000000,1,125,"Tuscaloosa County, AL",2011,,"95,463","87,532","7,931",8.3
CN0112700000000,1,127,"Walker County, AL",2011,,"27,092","24,034","3,058",11.3
CN0112900000000,1,129,"Washington County, AL",2011,,"7,106","6,070","1,036",14.6
CN0113100000000,1,131,"Wilcox County, AL",2011,,"2,979","2,289",690,23.2
CN0113300000000,1,133,"Winston County, AL",2011,,"9,819","8,492","1,327",13.5
CN0201300000000,2,13,"Aleutians East Borough, AK",2011,,"2,183","2,048",135,6.2
CN0201600000000,2,16,"Aleutians West Census Area, AK",2011,,"4,255","4,007",248,5.8
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2011,,"159,006","149,542","9,464",6
CN0205000000000,2,50,"Bethel Census Area, AK",2011,,"7,221","6,137","1,084",15
CN0206000000000,2,60,"Bristol Bay Borough, AK",2011,,518,472,46,8.9
CN0206800000000,2,68,"Denali Borough, AK",2011,,"1,018",879,139,13.7
CN0207000000000,2,70,"Dillingham Census Area, AK",2011,,"2,106","1,883",223,10.6
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2011,,"48,354","45,238","3,116",6.4
CN0210000000000,2,100,"Haines Borough, AK",2011,,"1,167","1,050",117,10
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2011,,"1,099",933,166,15.1
CN0211000000000,2,110,"Juneau Borough/city, AK",2011,,"17,907","16,913",994,5.6
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2011,,"27,273","24,675","2,598",9.5
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2011,,"7,180","6,560",620,8.6
CN0215000000000,2,150,"Kodiak Island Borough, AK",2011,,"6,783","6,281",502,7.4
CN0215800000000,2,158,"Kusilvak Census Area, AK",2011,,"2,759","2,177",582,21.1
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2011,,638,542,96,15
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2011,,"43,368","39,390","3,978",9.2
CN0218000000000,2,180,"Nome Census Area, AK",2011,,"4,127","3,619",508,12.3
CN0218500000000,2,185,"North Slope Borough, AK",2011,,"3,993","3,690",303,7.6
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2011,,"2,987","2,524",463,15.5
CN0219500000000,2,195,"Petersburg Borough, AK",2011,,"1,856","1,701",155,8.4
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2011,,"2,572","2,254",318,12.4
CN0222000000000,2,220,"Sitka Borough/city, AK",2011,,"4,632","4,348",284,6.1
CN0223000000000,2,230,"Skagway Municipality, AK",2011,,716,600,116,16.2
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2011,,"3,202","2,804",398,12.4
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2011,,"4,938","4,449",489,9.9
CN0227500000000,2,275,"Wrangell Borough/city, AK",2011,,"1,051",972,79,7.5
CN0228200000000,2,282,"Yakutat Borough/city, AK",2011,,301,269,32,10.6
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2011,,"2,706","2,208",498,18.4
CN0400100000000,4,1,"Apache County, AZ",2011,,"23,040","18,788","4,252",18.5
CN0400300000000,4,3,"Cochise County, AZ",2011,,"55,917","50,589","5,328",9.5
CN0400500000000,4,5,"Coconino County, AZ",2011,,"71,682","64,846","6,836",9.5
CN0400700000000,4,7,"Gila County, AZ",2011,,"21,171","18,725","2,446",11.6
CN0400900000000,4,9,"Graham County, AZ",2011,,"14,345","12,916","1,429",10
CN0401100000000,4,11,"Greenlee County, AZ",2011,,"3,352","2,982",370,11
CN0401200000000,4,12,"La Paz County, AZ",2011,,"7,827","7,057",770,9.8
CN0401300000000,4,13,"Maricopa County, AZ",2011,,"1,894,633","1,732,510","162,123",8.6
CN0401500000000,4,15,"Mohave County, AZ",2011,,"79,594","69,823","9,771",12.3
CN0401700000000,4,17,"Navajo County, AZ",2011,,"43,344","36,914","6,430",14.8
CN0401900000000,4,19,"Pima County, AZ",2011,,"466,908","427,335","39,573",8.5
CN0402100000000,4,21,"Pinal County, AZ",2011,,"149,658","135,043","14,615",9.8
CN0402300000000,4,23,"Santa Cruz County, AZ",2011,,"20,478","17,311","3,167",15.5
CN0402500000000,4,25,"Yavapai County, AZ",2011,,"93,132","83,953","9,179",9.9
CN0402700000000,4,27,"Yuma County, AZ",2011,,"91,935","69,677","22,258",24.2
CN0500100000000,5,1,"Arkansas County, AR",2011,,"10,589","9,297","1,292",12.2
CN0500300000000,5,3,"Ashley County, AR",2011,,"9,886","8,780","1,106",11.2
CN0500500000000,5,5,"Baxter County, AR",2011,,"16,602","15,061","1,541",9.3
CN0500700000000,5,7,"Benton County, AR",2011,,"109,574","102,441","7,133",6.5
CN0500900000000,5,9,"Boone County, AR",2011,,"16,697","15,367","1,330",8
CN0501100000000,5,11,"Bradley County, AR",2011,,"4,560","3,988",572,12.5
CN0501300000000,5,13,"Calhoun County, AR",2011,,"2,639","2,385",254,9.6
CN0501500000000,5,15,"Carroll County, AR",2011,,"12,896","11,964",932,7.2
CN0501700000000,5,17,"Chicot County, AR",2011,,"4,282","3,718",564,13.2
CN0501900000000,5,19,"Clark County, AR",2011,,"10,335","9,261","1,074",10.4
CN0502100000000,5,21,"Clay County, AR",2011,,"7,304","6,419",885,12.1
CN0502300000000,5,23,"Cleburne County, AR",2011,,"10,551","9,579",972,9.2
CN0502500000000,5,25,"Cleveland County, AR",2011,,"3,885","3,554",331,8.5
CN0502700000000,5,27,"Columbia County, AR",2011,,"10,445","9,401","1,044",10
CN0502900000000,5,29,"Conway County, AR",2011,,"9,038","8,145",893,9.9
CN0503100000000,5,31,"Craighead County, AR",2011,,"49,190","45,556","3,634",7.4
CN0503300000000,5,33,"Crawford County, AR",2011,,"28,020","25,539","2,481",8.9
CN0503500000000,5,35,"Crittenden County, AR",2011,,"22,778","20,293","2,485",10.9
CN0503700000000,5,37,"Cross County, AR",2011,,"8,832","8,092",740,8.4
CN0503900000000,5,39,"Dallas County, AR",2011,,"3,322","2,908",414,12.5
CN0504100000000,5,41,"Desha County, AR",2011,,"6,151","5,464",687,11.2
CN0504300000000,5,43,"Drew County, AR",2011,,"8,656","7,651","1,005",11.6
CN0504500000000,5,45,"Faulkner County, AR",2011,,"59,482","55,206","4,276",7.2
CN0504700000000,5,47,"Franklin County, AR",2011,,"7,799","7,201",598,7.7
CN0504900000000,5,49,"Fulton County, AR",2011,,"5,127","4,729",398,7.8
CN0505100000000,5,51,"Garland County, AR",2011,,"41,787","38,127","3,660",8.8
CN0505300000000,5,53,"Grant County, AR",2011,,"8,560","7,928",632,7.4
CN0505500000000,5,55,"Greene County, AR",2011,,"20,147","18,189","1,958",9.7
CN0505700000000,5,57,"Hempstead County, AR",2011,,"11,024","10,049",975,8.8
CN0505900000000,5,59,"Hot Spring County, AR",2011,,"14,527","13,320","1,207",8.3
CN0506100000000,5,61,"Howard County, AR",2011,,"6,746","6,240",506,7.5
CN0506300000000,5,63,"Independence County, AR",2011,,"16,711","15,149","1,562",9.3
CN0506500000000,5,65,"Izard County, AR",2011,,"5,232","4,713",519,9.9
CN0506700000000,5,67,"Jackson County, AR",2011,,"6,714","5,935",779,11.6
CN0506900000000,5,69,"Jefferson County, AR",2011,,"33,727","29,978","3,749",11.1
CN0507100000000,5,71,"Johnson County, AR",2011,,"11,134","10,256",878,7.9
CN0507300000000,5,73,"Lafayette County, AR",2011,,"3,007","2,716",291,9.7
CN0507500000000,5,75,"Lawrence County, AR",2011,,"7,471","6,731",740,9.9
CN0507700000000,5,77,"Lee County, AR",2011,,"3,678","3,326",352,9.6
CN0507900000000,5,79,"Lincoln County, AR",2011,,"4,782","4,335",447,9.3
CN0508100000000,5,81,"Little River County, AR",2011,,"6,143","5,662",481,7.8
CN0508300000000,5,83,"Logan County, AR",2011,,"9,641","8,790",851,8.8
CN0508500000000,5,85,"Lonoke County, AR",2011,,"33,448","31,123","2,325",7
CN0508700000000,5,87,"Madison County, AR",2011,,"7,244","6,753",491,6.8
CN0508900000000,5,89,"Marion County, AR",2011,,"6,758","6,120",638,9.4
CN0509100000000,5,91,"Miller County, AR",2011,,"20,808","19,484","1,324",6.4
CN0509300000000,5,93,"Mississippi County, AR",2011,,"20,984","18,454","2,530",12.1
CN0509500000000,5,95,"Monroe County, AR",2011,,"3,390","3,067",323,9.5
CN0509700000000,5,97,"Montgomery County, AR",2011,,"3,826","3,470",356,9.3
CN0509900000000,5,99,"Nevada County, AR",2011,,"4,180","3,784",396,9.5
CN0510100000000,5,101,"Newton County, AR",2011,,"3,803","3,518",285,7.5
CN0510300000000,5,103,"Ouachita County, AR",2011,,"11,066","9,900","1,166",10.5
CN0510500000000,5,105,"Perry County, AR",2011,,"4,520","4,098",422,9.3
CN0510700000000,5,107,"Phillips County, AR",2011,,"8,447","7,421","1,026",12.1
CN0510900000000,5,109,"Pike County, AR",2011,,"4,654","4,186",468,10.1
CN0511100000000,5,111,"Poinsett County, AR",2011,,"10,817","9,783","1,034",9.6
CN0511300000000,5,113,"Polk County, AR",2011,,"8,947","8,226",721,8.1
CN0511500000000,5,115,"Pope County, AR",2011,,"30,517","28,125","2,392",7.8
CN0511700000000,5,117,"Prairie County, AR",2011,,"3,937","3,596",341,8.7
CN0511900000000,5,119,"Pulaski County, AR",2011,,"190,083","175,884","14,199",7.5
CN0512100000000,5,121,"Randolph County, AR",2011,,"7,186","6,375",811,11.3
CN0512300000000,5,123,"St. Francis County, AR",2011,,"9,824","8,729","1,095",11.1
CN0512500000000,5,125,"Saline County, AR",2011,,"54,212","50,604","3,608",6.7
CN0512700000000,5,127,"Scott County, AR",2011,,"4,832","4,489",343,7.1
CN0512900000000,5,129,"Searcy County, AR",2011,,"3,336","3,030",306,9.2
CN0513100000000,5,131,"Sebastian County, AR",2011,,"59,600","54,442","5,158",8.7
CN0513300000000,5,133,"Sevier County, AR",2011,,"6,402","5,812",590,9.2
CN0513500000000,5,135,"Sharp County, AR",2011,,"6,294","5,619",675,10.7
CN0513700000000,5,137,"Stone County, AR",2011,,"5,402","4,919",483,8.9
CN0513900000000,5,139,"Union County, AR",2011,,"16,977","15,187","1,790",10.5
CN0514100000000,5,141,"Van Buren County, AR",2011,,"6,756","6,010",746,11
CN0514300000000,5,143,"Washington County, AR",2011,,"104,823","98,216","6,607",6.3
CN0514500000000,5,145,"White County, AR",2011,,"36,768","33,580","3,188",8.7
CN0514700000000,5,147,"Woodruff County, AR",2011,,"3,571","3,179",392,11
CN0514900000000,5,149,"Yell County, AR",2011,,"9,605","8,886",719,7.5
CN0600100000000,6,1,"Alameda County, CA",2011,,"786,756","707,381","79,375",10.1
CN0600300000000,6,3,"Alpine County, CA",2011,,593,517,76,12.8
CN0600500000000,6,5,"Amador County, CA",2011,,"15,095","13,040","2,055",13.6
CN0600700000000,6,7,"Butte County, CA",2011,,"100,647","86,891","13,756",13.7
CN0600900000000,6,9,"Calaveras County, CA",2011,,"20,668","17,769","2,899",14
CN0601100000000,6,11,"Colusa County, CA",2011,,"11,376","8,959","2,417",21.2
CN0601300000000,6,13,"Contra Costa County, CA",2011,,"529,551","475,011","54,540",10.3
CN0601500000000,6,15,"Del Norte County, CA",2011,,"10,895","9,446","1,449",13.3
CN0601700000000,6,17,"El Dorado County, CA",2011,,"89,690","79,188","10,502",11.7
CN0601900000000,6,19,"Fresno County, CA",2011,,"443,509","370,224","73,285",16.5
CN0602100000000,6,21,"Glenn County, CA",2011,,"13,167","11,124","2,043",15.5
CN0602300000000,6,23,"Humboldt County, CA",2011,,"65,106","58,228","6,878",10.6
CN0602500000000,6,25,"Imperial County, CA",2011,,"79,456","56,524","22,932",28.9
CN0602700000000,6,27,"Inyo County, CA",2011,,"9,682","8,741",941,9.7
CN0602900000000,6,29,"Kern County, CA",2011,,"382,367","325,712","56,655",14.8
CN0603100000000,6,31,"Kings County, CA",2011,,"59,123","49,718","9,405",15.9
CN0603300000000,6,33,"Lake County, CA",2011,,"29,611","25,310","4,301",14.5
CN0603500000000,6,35,"Lassen County, CA",2011,,"11,785","10,190","1,595",13.5
CN0603700000000,6,37,"Los Angeles County, CA",2011,,"4,928,464","4,327,923","600,541",12.2
CN0603900000000,6,39,"Madera County, CA",2011,,"62,014","51,990","10,024",16.2
CN0604100000000,6,41,"Marin County, CA",2011,,"134,576","124,801","9,775",7.3
CN0604300000000,6,43,"Mariposa County, CA",2011,,"8,661","7,520","1,141",13.2
CN0604500000000,6,45,"Mendocino County, CA",2011,,"40,953","36,284","4,669",11.4
CN0604700000000,6,47,"Merced County, CA",2011,,"114,735","94,500","20,235",17.6
CN0604900000000,6,49,"Modoc County, CA",2011,,"3,620","3,042",578,16
CN0605100000000,6,51,"Mono County, CA",2011,,"8,832","7,944",888,10.1
CN0605300000000,6,53,"Monterey County, CA",2011,,"216,558","189,146","27,412",12.7
CN0605500000000,6,55,"Napa County, CA",2011,,"70,760","63,846","6,914",9.8
CN0605700000000,6,57,"Nevada County, CA",2011,,"49,021","43,590","5,431",11.1
CN0605900000000,6,59,"Orange County, CA",2011,,"1,546,389","1,406,411","139,978",9.1
CN0606100000000,6,61,"Placer County, CA",2011,,"173,744","154,923","18,821",10.8
CN0606300000000,6,63,"Plumas County, CA",2011,,"8,890","7,326","1,564",17.6
CN0606500000000,6,65,"Riverside County, CA",2011,,"978,514","849,635","128,879",13.2
CN0606700000000,6,67,"Sacramento County, CA",2011,,"679,995","597,683","82,312",12.1
CN0606900000000,6,69,"San Benito County, CA",2011,,"28,281","24,179","4,102",14.5
CN0607100000000,6,71,"San Bernardino County, CA",2011,,"888,513","774,166","114,347",12.9
CN0607300000000,6,73,"San Diego County, CA",2011,,"1,524,582","1,367,250","157,332",10.3
CN0607500000000,6,75,"San Francisco County/city, CA",2011,,"494,760","454,861","39,899",8.1
CN0607700000000,6,77,"San Joaquin County, CA",2011,,"311,363","260,997","50,366",16.2
CN0607900000000,6,79,"San Luis Obispo County, CA",2011,,"134,374","121,509","12,865",9.6
CN0608100000000,6,81,"San Mateo County, CA",2011,,"399,859","369,827","30,032",7.5
CN0608300000000,6,83,"Santa Barbara County, CA",2011,,"213,005","193,023","19,982",9.4
CN0608500000000,6,85,"Santa Clara County, CA",2011,,"939,851","852,426","87,425",9.3
CN0608700000000,6,87,"Santa Cruz County, CA",2011,,"141,335","122,865","18,470",13.1
CN0608900000000,6,89,"Shasta County, CA",2011,,"77,044","64,762","12,282",15.9
CN0609100000000,6,91,"Sierra County, CA",2011,,"1,601","1,363",238,14.9
CN0609300000000,6,93,"Siskiyou County, CA",2011,,"19,435","16,134","3,301",17
CN0609500000000,6,95,"Solano County, CA",2011,,"202,241","177,619","24,622",12.2
CN0609700000000,6,97,"Sonoma County, CA",2011,,"246,171","220,958","25,213",10.2
CN0609900000000,6,99,"Stanislaus County, CA",2011,,"242,320","202,360","39,960",16.5
CN0610100000000,6,101,"Sutter County, CA",2011,,"45,939","37,596","8,343",18.2
CN0610300000000,6,103,"Tehama County, CA",2011,,"25,574","21,744","3,830",15
CN0610500000000,6,105,"Trinity County, CA",2011,,"5,385","4,486",899,16.7
CN0610700000000,6,107,"Tulare County, CA",2011,,"203,474","168,687","34,787",17.1
CN0610900000000,6,109,"Tuolumne County, CA",2011,,"22,725","19,440","3,285",14.5
CN0611100000000,6,111,"Ventura County, CA",2011,,"431,718","387,495","44,223",10.2
CN0611300000000,6,113,"Yolo County, CA",2011,,"101,806","89,818","11,988",11.8
CN0611500000000,6,115,"Yuba County, CA",2011,,"28,948","24,035","4,913",17
CN0800100000000,8,1,"Adams County, CO",2011,,"236,385","212,931","23,454",9.9
CN0800300000000,8,3,"Alamosa County, CO",2011,,"7,684","6,942",742,9.7
CN0800500000000,8,5,"Arapahoe County, CO",2011,,"319,253","292,867","26,386",8.3
CN0800700000000,8,7,"Archuleta County, CO",2011,,"5,748","5,169",579,10.1
CN0800900000000,8,9,"Baca County, CO",2011,,"2,068","1,969",99,4.8
CN0801100000000,8,11,"Bent County, CO",2011,,"1,929","1,770",159,8.2
CN0801300000000,8,13,"Boulder County, CO",2011,,"172,002","160,904","11,098",6.5
CN0801400000000,8,14,"Broomfield County/city, CO",2011,,"31,768","29,539","2,229",7
CN0801500000000,8,15,"Chaffee County, CO",2011,,"8,301","7,702",599,7.2
CN0801700000000,8,17,"Cheyenne County, CO",2011,,"1,050","1,006",44,4.2
CN0801900000000,8,19,"Clear Creek County, CO",2011,,"5,500","5,094",406,7.4
CN0802100000000,8,21,"Conejos County, CO",2011,,"3,728","3,338",390,10.5
CN0802300000000,8,23,"Costilla County, CO",2011,,"1,582","1,397",185,11.7
CN0802500000000,8,25,"Crowley County, CO",2011,,"1,488","1,356",132,8.9
CN0802700000000,8,27,"Custer County, CO",2011,,"2,017","1,889",128,6.3
CN0802900000000,8,29,"Delta County, CO",2011,,"14,409","12,905","1,504",10.4
CN0803100000000,8,31,"Denver County/city, CO",2011,,"352,226","321,953","30,273",8.6
CN0803300000000,8,33,"Dolores County, CO",2011,,947,826,121,12.8
CN0803500000000,8,35,"Douglas County, CO",2011,,"158,279","148,154","10,125",6.4
CN0803700000000,8,37,"Eagle County, CO",2011,,"32,147","29,624","2,523",7.8
CN0803900000000,8,39,"Elbert County, CO",2011,,"12,674","11,724",950,7.5
CN0804100000000,8,41,"El Paso County, CO",2011,,"307,563","279,542","28,021",9.1
CN0804300000000,8,43,"Fremont County, CO",2011,,"15,916","14,005","1,911",12
CN0804500000000,8,45,"Garfield County, CO",2011,,"31,376","28,404","2,972",9.5
CN0804700000000,8,47,"Gilpin County, CO",2011,,"3,269","3,033",236,7.2
CN0804900000000,8,49,"Grand County, CO",2011,,"8,795","8,087",708,8.1
CN0805100000000,8,51,"Gunnison County, CO",2011,,"9,935","9,336",599,6
CN0805300000000,8,53,"Hinsdale County, CO",2011,,473,449,24,5.1
CN0805500000000,8,55,"Huerfano County, CO",2011,,"2,659","2,298",361,13.6
CN0805700000000,8,57,"Jackson County, CO",2011,,893,839,54,6
CN0805900000000,8,59,"Jefferson County, CO",2011,,"302,402","278,353","24,049",8
CN0806100000000,8,61,"Kiowa County, CO",2011,,836,794,42,5
CN0806300000000,8,63,"Kit Carson County, CO",2011,,"4,265","4,065",200,4.7
CN0806500000000,8,65,"Lake County, CO",2011,,"4,377","3,936",441,10.1
CN0806700000000,8,67,"La Plata County, CO",2011,,"29,476","27,408","2,068",7
CN0806900000000,8,69,"Larimer County, CO",2011,,"170,942","158,704","12,238",7.2
CN0807100000000,8,71,"Las Animas County, CO",2011,,"6,977","6,208",769,11
CN0807300000000,8,73,"Lincoln County, CO",2011,,"2,193","2,054",139,6.3
CN0807500000000,8,75,"Logan County, CO",2011,,"11,081","10,388",693,6.3
CN0807700000000,8,77,"Mesa County, CO",2011,,"75,475","67,738","7,737",10.3
CN0807900000000,8,79,"Mineral County, CO",2011,,426,403,23,5.4
CN0808100000000,8,81,"Moffat County, CO",2011,,"7,861","7,130",731,9.3
CN0808300000000,8,83,"Montezuma County, CO",2011,,"12,986","11,850","1,136",8.7
CN0808500000000,8,85,"Montrose County, CO",2011,,"20,017","17,805","2,212",11.1
CN0808700000000,8,87,"Morgan County, CO",2011,,"15,043","14,040","1,003",6.7
CN0808900000000,8,89,"Otero County, CO",2011,,"8,473","7,629",844,10
CN0809100000000,8,91,"Ouray County, CO",2011,,"2,023","1,817",206,10.2
CN0809300000000,8,93,"Park County, CO",2011,,"9,406","8,683",723,7.7
CN0809500000000,8,95,"Phillips County, CO",2011,,"2,154","2,039",115,5.3
CN0809700000000,8,97,"Pitkin County, CO",2011,,"10,926","10,072",854,7.8
CN0809900000000,8,99,"Prowers County, CO",2011,,"6,242","5,829",413,6.6
CN0810100000000,8,101,"Pueblo County, CO",2011,,"75,117","67,211","7,906",10.5
CN0810300000000,8,103,"Rio Blanco County, CO",2011,,"3,119","2,874",245,7.9
CN0810500000000,8,105,"Rio Grande County, CO",2011,,"5,152","4,519",633,12.3
CN0810700000000,8,107,"Routt County, CO",2011,,"14,288","13,111","1,177",8.2
CN0810900000000,8,109,"Saguache County, CO",2011,,"3,015","2,679",336,11.1
CN0811100000000,8,111,"San Juan County, CO",2011,,522,461,61,11.7
CN0811300000000,8,113,"San Miguel County, CO",2011,,"4,885","4,492",393,8
CN0811500000000,8,115,"Sedgwick County, CO",2011,,"1,096","1,009",87,7.9
CN0811700000000,8,117,"Summit County, CO",2011,,"19,255","18,003","1,252",6.5
CN0811900000000,8,119,"Teller County, CO",2011,,"12,154","11,024","1,130",9.3
CN0812100000000,8,121,"Washington County, CO",2011,,"2,589","2,448",141,5.4
CN0812300000000,8,123,"Weld County, CO",2011,,"134,285","122,737","11,548",8.6
CN0812500000000,8,125,"Yuma County, CO",2011,,"4,962","4,701",261,5.3
CN0900100000000,9,1,"Fairfield County, CT",2011,,"476,985","437,853","39,132",8.2
CN0900300000000,9,3,"Hartford County, CT",2011,,"480,133","436,750","43,383",9
CN0900500000000,9,5,"Litchfield County, CT",2011,,"108,071","99,279","8,792",8.1
CN0900700000000,9,7,"Middlesex County, CT",2011,,"93,628","86,485","7,143",7.6
CN0900900000000,9,9,"New Haven County, CT",2011,,"461,844","417,051","44,793",9.7
CN0901100000000,9,11,"New London County, CT",2011,,"143,131","130,445","12,686",8.9
CN0901300000000,9,13,"Tolland County, CT",2011,,"86,415","79,909","6,506",7.5
CN0901500000000,9,15,"Windham County, CT",2011,,"64,567","58,193","6,374",9.9
CN1000100000000,10,1,"Kent County, DE",2011,,"74,064","67,996","6,068",8.2
CN1000300000000,10,3,"New Castle County, DE",2011,,"277,387","257,260","20,127",7.3
CN1000500000000,10,5,"Sussex County, DE",2011,,"91,896","84,830","7,066",7.7
CN1100100000000,11,1,District of Columbia,2011,,"350,778","315,171","35,607",10.2
CN1200100000000,12,1,"Alachua County, FL",2011,,"129,027","119,251","9,776",7.6
CN1200300000000,12,3,"Baker County, FL",2011,,"11,506","10,333","1,173",10.2
CN1200500000000,12,5,"Bay County, FL",2011,,"87,205","78,311","8,894",10.2
CN1200700000000,12,7,"Bradford County, FL",2011,,"11,507","10,462","1,045",9.1
CN1200900000000,12,9,"Brevard County, FL",2011,,"265,213","236,336","28,877",10.9
CN1201100000000,12,11,"Broward County, FL",2011,,"951,445","861,686","89,759",9.4
CN1201300000000,12,13,"Calhoun County, FL",2011,,"5,242","4,698",544,10.4
